Metadata associated with the characterized prophages
Host AccesionNumber,PhageID,SpeciesID,GenusID,IsolationSource,Host,Country
GCA_002201815,CP021896.1||1,0,0,N/A,E. hormaechei,N/A
GCA_003031445,CP020525.1||2,0,0,Human,E. hormaechei,USA
GCA_010319625,AP019817.1||2,0,0,N/A,E. hormaechei,Japan
GCA_013625795,CP058164.1||3,0,0,Environmental,E. hormaechei,United Kingdom
GCA_017161605,CP071009.1||2,0,0,N/A,E. hormaechei,Netherlands
GCA_017161725,CP071011.1||2,0,0,N/A,E. hormaechei,Netherlands
GCA_017161745,CP071017.1||2,0,0,N/A,E. hormaechei,Netherlands
GCA_017161765,CP071025.1||2,0,0,N/A,E. hormaechei,Netherlands
GCA_017161785,CP071021.1||2,0,0,N/A,E. hormaechei,Netherlands
GCA_017161805,CP071013.1||2,0,0,N/A,E. hormaechei,Netherlands
GCA_017161825,CP071015.1||2,0,0,N/A,E. hormaechei,Netherlands
GCA_017161845,CP071019.1||2,0,0,N/A,E. hormaechei,Netherlands
GCA_017161865,CP071023.1||2,0,0,N/A,E. hormaechei,Netherlands
GCA_023734795,AP025764.1||3,0,0,N/A,E. hormaechei,Japan
GCA_023734815,AP025767.1||2,0,0,N/A,E. hormaechei,Japan
GCA_023734835,AP025770.1||5,0,0,N/A,E. hormaechei,Japan
GCA_023734855,AP025772.1||4,0,0,N/A,E. hormaechei,Japan
GCA_023734875,AP025774.1||3,0,0,N/A,E. hormaechei,Japan
GCA_023734895,AP025777.1||2,0,0,N/A,E. hormaechei,Japan
GCA_023734915,AP025780.1||4,0,0,N/A,E. hormaechei,Japan
GCA_023734935,AP025782.1||4,0,0,N/A,E. hormaechei,Japan
GCA_023734955,AP025784.1||4,0,0,N/A,E. hormaechei,Japan
GCA_023734975,AP025787.1||4,0,0,N/A,E. hormaechei,Japan
GCA_023734995,AP025790.1||4,0,0,N/A,E. hormaechei,Japan
GCA_023735015,AP025792.1||4,0,0,N/A,E. hormaechei,Japan
GCA_023735035,AP025795.1||4,0,0,N/A,E. hormaechei,Japan
GCA_023735055,AP025797.1||4,0,0,N/A,E. hormaechei,Japan
GCA_023735075,AP025799.1||4,0,0,N/A,E. hormaechei,Japan
GCA_023735155,AP025801.1||4,0,0,N/A,E. hormaechei,Japan
GCA_023735195,AP025804.1||1,0,0,N/A,E. hormaechei,Japan
GCA_023735215,AP025807.1||4,0,0,N/A,E. hormaechei,Japan
GCA_023735235,AP025810.1||4,0,0,N/A,E. hormaechei,Japan
GCA_023735255,AP025812.1||3,0,0,N/A,E. hormaechei,Japan
GCA_023735275,AP025815.1||4,0,0,N/A,E. hormaechei,Japan
GCA_023735295,AP025818.1||4,0,0,N/A,E. hormaechei,Japan
GCA_023735315,AP025821.1||4,0,0,N/A,E. hormaechei,Japan
GCA_023735335,AP025824.1||5,0,0,N/A,E. hormaechei,Japan
GCA_023735355,AP025827.1||3,0,0,N/A,E. hormaechei,Japan
GCA_023735375,AP025830.1||2,0,0,N/A,E. hormaechei,Japan
GCA_023735395,AP025833.1||2,0,0,N/A,E. hormaechei,Japan
GCA_023735435,AP025839.1||3,0,0,N/A,E. hormaechei,Japan
GCA_024182005,AP025836.1||3,0,0,N/A,E. hormaechei,Japan
GCA_025266795,CP098486.1||3,0,0,N/A,E. hormaechei,China
GCA_028898905,CP118567.1||3,0,0,Human,E. hormaechei,USA
GCA_030847805,CP126864.1||4,0,0,Animal,E. hormaechei,Switzerland
GCA_038627095,CP157332.1||2,0,0,Human,E. hormaechei,USA
GCA_041378885,CP166901.1||3,0,0,Human,E. hormaechei,Taiwan
GCA_905232035,OW849522.1||1,0,0,Human,E. hormaechei,Spain
GCA_905232455,OW849101.1||3,0,0,Human,E. hormaechei,Spain
GCA_905233055,OW849302.1||3,0,0,Human,E. hormaechei,Spain
GCA_905322485,OW967485.1||1,0,0,Human,E. hormaechei,Spain
GCA_905322515,OW967014.1||2,0,0,Human,E. hormaechei,Spain
GCA_905329655,OW967210.1||3,0,0,Human,E. hormaechei,Spain
GCA_000750225,CP008899.1||0,1,1,N/A,E. hormaechei,N/A
GCA_000750275,CP008906.1||0,1,1,N/A,E. hormaechei,N/A
GCA_000814125,CP012170.1||0,1,1,N/A,E. hormaechei,N/A
GCA_002192355,CP021749.1||3,1,1,N/A,E. hormaechei,N/A
GCA_003031755,CP020529.1||0,1,1,N/A,E. hormaechei,N/A
GCA_003264955,CP030080.1||0,1,1,N/A,E. hormaechei,N/A
GCA_003408555,CP031568.1||0,1,1,N/A,E. hormaechei,N/A
GCA_003408595,CP031575.1||0,1,1,N/A,E. hormaechei,N/A
GCA_008505035,CP043855.1||0,1,1,N/A,E. hormaechei,N/A
GCA_008931545,CP042579.1||0,1,1,N/A,E. kobei,N/A
GCA_008931785,CP043767.1||0,1,1,N/A,E. hormaechei,N/A
GCA_011044215,CP049047.1||0,1,1,N/A,E. hormaechei,N/A
GCA_011045355,CP049193.1||0,1,1,N/A,E. hormaechei,N/A
GCA_013873655,CP059413.1||0,1,1,N/A,E. hormaechei,N/A
GCA_015138375,AP022520.1||0,1,1,N/A,E. asburiae,N/A
GCA_015910205,CP047715.1||2,1,1,Environmental,E. hormaechei,Canada
GCA_016756655,AP023448.1||0,1,1,N/A,E. roggenkampii,N/A
GCA_016767735,CP050312.1||0,1,1,N/A,E. hormaechei,N/A
GCA_016767755,CP050507.1||0,1,1,N/A,E. hormaechei,N/A
GCA_017347425,AP024500.1||0,1,1,N/A,E. asburiae,N/A
GCA_019537235,JAIEUD010000002.1||0,1,1,N/A,E. hormaechei,N/A
GCA_019537255,JAIEUE010000002.1||0,1,1,N/A,E. hormaechei,N/A
GCA_019537315,JAIEUC010000002.1||0,1,1,N/A,E. hormaechei,N/A
GCA_019537335,JAIEUF010000002.1||0,1,1,N/A,E. hormaechei,N/A
GCA_019856235,CP082148.1||0,1,1,N/A,E. kobei,N/A
GCA_019880465,CP082281.1||0,1,1,N/A,E. cancerogenus,N/A
GCA_021869665,CP091487.1||0,1,1,N/A,E. hormaechei,N/A
GCA_023612875,CP039390.1||0,1,1,N/A,E. hormaechei,N/A
GCA_024138875,CP071791.1||0,1,1,N/A,E. hormaechei,N/A
GCA_026240695,CP110879.1||0,1,1,N/A,E. kobei,N/A
GCA_027271235,CP114574.1||0,1,1,N/A,E. hormaechei,N/A
GCA_029962565,CP096993.1||0,1,1,N/A,E. hormaechei,N/A
GCA_030179615,CP109752.1||0,1,1,N/A,E. hormaechei,N/A
GCA_030847665,CP126825.1||0,1,1,N/A,E. hormaechei,N/A
GCA_030847745,CP126845.1||0,1,1,N/A,E. hormaechei,N/A
GCA_030847765,CP126848.1||0,1,1,N/A,E. hormaechei,N/A
GCA_030848145,CP126812.1||0,1,1,N/A,E. hormaechei,N/A
